age,genotype,count,count_std,weight
60,ifnko,584,216.96029096851538,21244156434380784e-21
60,ifnko,691,216.96029096851538,21244156434380784e-21
60,ifnko,1022.5,216.96029096851538,21244156434380784e-21
60,ifnko,601.5,216.96029096851538,21244156434380784e-21
60,ifnko,378,216.96029096851538,21244156434380784e-21
60,ifnko,494,216.96029096851538,21244156434380784e-21
60,ifnko,383,216.96029096851538,21244156434380784e-21
60,ifnko,393,216.96029096851538,21244156434380784e-21
180,ifnko,178,71.08445681019164,0.0001979022362952701
180,ifnko,255,71.08445681019164,0.0001979022362952701
180,ifnko,113,71.08445681019164,0.0001979022362952701
660,ifnko,119,38.58756276314948,0.0006715916722632639
660,ifnko,162,38.58756276314948,0.0006715916722632639
660,ifnko,196,38.58756276314948,0.0006715916722632639
